GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
5001400US0101,0101,"Congressional District 1 (114th Congress), Alabama",696783,3451,675223,3512,455160,2279,193511,3508,5050,1174,9757,1217,47,77,696,683,11002,2761,1737,1259,9265,2554,21560,478,13296,2402,809,483,243,465,0,189,0,189,6495,2427,717,685,472,568,245,366
5001400US0102,0102,"Congressional District 2 (114th Congress), Alabama",678622,7231,656890,7286,429592,3274,207990,6773,3256,772,7660,2263,0,189,663,440,7729,1275,295,258,7434,1290,21732,1152,14188,1749,1371,595,153,175,24,41,58,95,4800,2124,1138,513,523,358,615,380
5001400US0103,0103,"Congressional District 3 (114th Congress), Alabama",706574,4983,685355,4724,478224,2911,183009,4794,1785,549,9660,1603,417,466,493,424,11767,2518,334,448,11433,2464,21219,1657,14403,1865,391,307,203,204,319,403,0,189,5143,1711,760,671,190,191,570,567
5001400US0104,0104,"Congressional District 4 (114th Congress), Alabama",683372,5143,642449,5092,573796,5019,46526,2080,4938,1202,3393,1034,125,155,550,679,13121,2362,199,151,12922,2345,40923,2034,22676,3218,373,402,72,94,143,215,14,28,16950,3221,695,586,164,177,531,519
5001400US0105,0105,"Congressional District 5 (114th Congress), Alabama",706373,135,671380,135,516262,519,120864,2967,3849,913,10026,914,501,374,860,534,19018,2917,245,268,18773,2868,34993,7,25946,2051,698,581,251,354,112,198,0,189,6309,1873,1677,799,633,420,1044,590
5001400US0106,0106,"Congressional District 6 (114th Congress), Alabama",696788,6818,662575,6867,538058,4950,100089,5879,1662,783,13185,1561,203,336,967,858,8411,1659,266,310,8145,1614,34213,1996,14685,3070,888,688,153,170,0,189,58,93,17723,3092,706,622,345,314,361,423
5001400US0107,0107,"Congressional District 7 (114th Congress), Alabama",680865,9264,663092,9334,214443,6610,433742,7186,884,451,4083,1352,23,37,2361,2031,7556,2254,0,189,7556,2254,17773,2592,9544,2456,1565,1009,54,96,94,170,0,189,5849,1822,667,371,344,359,323,276
5001400US0200,0200,"Congressional District (at Large) (114th Congress), Alaska",736732,*****,687456,200,455009,805,23608,2475,101285,3075,43532,2125,8331,1126,1735,1024,53956,3793,103,118,53853,3803,49276,200,28575,2613,1182,582,1988,730,383,244,64,150,8232,1933,8852,2214,3237,1315,5615,1724
5001400US0401,0401,"Congressional District 1 (114th Congress), Arizona",739373,9580,577963,9030,367326,8775,17244,2792,167433,3634,10526,1819,1407,794,656,765,13371,2762,437,395,12934,2765,161410,6739,118827,7495,986,564,6250,2026,1061,897,42,75,24312,4546,9932,2483,3555,1294,6377,2334
