GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years or over:,Margin of Error; 65 years or over:,Estimate; 65 years or over: - With health insurance coverage,Margin of Error; 65 years or over: - With health insurance coverage,Estimate; 65 years or over: - No health insurance coverage,Margin of Error; 65 years or over: - No health insurance coverage
5001000US0101,0101,"Congressional District 1 (110th Congress), Alabama",661947,5198,169067,1741,148278,3580,20789,3208,403154,4474,312812,5568,90342,5090,89726,1688,89396,1668,330,245
5001000US0102,0102,"Congressional District 2 (110th Congress), Alabama",626359,8721,159723,3454,149622,3827,10101,2265,378108,6791,309996,6812,68112,5099,88528,2179,88090,2206,438,295
5001000US0103,0103,"Congressional District 3 (110th Congress), Alabama",651139,7590,151892,3483,141689,4475,10203,2827,415759,5553,339980,7039,75779,5521,83488,2085,82387,2060,1101,545
5001000US0104,0104,"Congressional District 4 (110th Congress), Alabama",641475,5387,153403,2799,137707,4069,15696,2833,392932,3916,299372,6769,93560,6319,95140,2207,94133,2239,1007,510
5001000US0105,0105,"Congressional District 5 (110th Congress), Alabama",678813,4828,160867,2057,148204,3407,12663,2700,424854,4338,347005,6855,77849,5680,93092,1705,92751,1746,341,390
5001000US0106,0106,"Congressional District 6 (110th Congress), Alabama",731260,9896,184302,4609,173921,4528,10381,2361,457921,6769,400144,6907,57777,4511,89037,2718,88985,2723,52,86
5001000US0107,0107,"Congressional District 7 (110th Congress), Alabama",583192,10231,140478,5152,130369,5547,10109,2356,367763,7272,283201,8140,84562,5578,74951,2391,74616,2355,335,221
5001000US0200,0200,"Congressional District (at Large) (110th Congress), Alaska",659084,2654,180431,1224,157232,2759,23199,2657,430938,3005,323034,5288,107904,5382,47715,912,46668,1053,1047,503
5001000US0401,0401,"Congressional District 1 (110th Congress), Arizona",736469,8287,189583,3857,145532,5280,44051,4287,431315,5929,314059,7781,117256,6575,115571,2538,111815,2498,3756,691
