GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 6 years:,Margin of Error; Male: - Under 6 years:,Estimate; Male: - Under 6 years: - With health insurance coverage,Margin of Error; Male: - Under 6 years: - With health insurance coverage,Estimate; Male: - Under 6 years: - No health insurance coverage,Margin of Error; Male: - Under 6 years: - No health insurance coverage,Estimate; Male: - 6 to 17 years:,Margin of Error; Male: - 6 to 17 years:,Estimate; Male: - 6 to 17 years: - With health insurance coverage,Margin of Error; Male: - 6 to 17 years: - With health insurance coverage,Estimate; Male: - 6 to 17 years: - No health insurance coverage,Margin of Error; Male: - 6 to 17 years: - No health insurance coverage,Estimate; Male: - 18 to 24 years:,Margin of Error; Male: - 18 to 24 years:,Estimate; Male: - 18 to 24 years: - With health insurance coverage,Margin of Error; Male: - 18 to 24 years: - With health insurance coverage,Estimate; Male: - 18 to 24 years: - No health insurance coverage,Margin of Error; Male: - 18 to 24 years: - No health insurance coverage,Estimate; Male: - 25 to 34 years:,Margin of Error; Male: - 25 to 34 years:,Estimate; Male: - 25 to 34 years: - With health insurance coverage,Margin of Error; Male: - 25 to 34 years: - With health insurance coverage,Estimate; Male: - 25 to 34 years: - No health insurance coverage,Margin of Error; Male: - 25 to 34 years: - No health insurance coverage,Estimate; Male: - 35 to 44 years:,Margin of Error; Male: - 35 to 44 years:,Estimate; Male: - 35 to 44 years: - With health insurance coverage,Margin of Error; Male: - 35 to 44 years: - With health insurance coverage,Estimate; Male: - 35 to 44 years: - No health insurance coverage,Margin of Error; Male: - 35 to 44 years: - No health insurance coverage,Estimate; Male: - 45 to 54 years:,Margin of Error; Male: - 45 to 54 years:,Estimate; Male: - 45 to 54 years: - With health insurance coverage,Margin of Error; Male: - 45 to 54 years: - With health insurance coverage,Estimate; Male: - 45 to 54 years: - No health insurance coverage,Margin of Error; Male: - 45 to 54 years: - No health insurance coverage,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - With health insurance coverage,Margin of Error; Male: - 55 to 64 years: - With health insurance coverage,Estimate; Male: - 55 to 64 years: - No health insurance coverage,Margin of Error; Male: - 55 to 64 years: - No health insurance coverage,Estimate; Male: - 65 to 74 years:,Margin of Error; Male: - 65 to 74 years:,Estimate; Male: - 65 to 74 years: - With health insurance coverage,Margin of Error; Male: - 65 to 74 years: - With health insurance coverage,Estimate; Male: - 65 to 74 years: - No health insurance coverage,Margin of Error; Male: - 65 to 74 years: - No health insurance coverage,Estimate; Male: - 75 years and over:,Margin of Error; Male: - 75 years and over:,Estimate; Male: - 75 years and over: - With health insurance coverage,Margin of Error; Male: - 75 years and over: - With health insurance coverage,Estimate; Male: - 75 years and over: - No health insurance coverage,Margin of Error; Male: - 75 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 6 years:,Margin of Error; Female: - Under 6 years:,Estimate; Female: - Under 6 years: - With health insurance coverage,Margin of Error; Female: - Under 6 years: - With health insurance coverage,Estimate; Female: - Under 6 years: - No health insurance coverage,Margin of Error; Female: - Under 6 years: - No health insurance coverage,Estimate; Female: - 6 to 17 years:,Margin of Error; Female: - 6 to 17 years:,Estimate; Female: - 6 to 17 years: - With health insurance coverage,Margin of Error; Female: - 6 to 17 years: - With health insurance coverage,Estimate; Female: - 6 to 17 years: - No health insurance coverage,Margin of Error; Female: - 6 to 17 years: - No health insurance coverage,Estimate; Female: - 18 to 24 years:,Margin of Error; Female: - 18 to 24 years:,Estimate; Female: - 18 to 24 years: - With health insurance coverage,Margin of Error; Female: - 18 to 24 years: - With health insurance coverage,Estimate; Female: - 18 to 24 years: - No health insurance coverage,Margin of Error; Female: - 18 to 24 years: - No health insurance coverage,Estimate; Female: - 25 to 34 years:,Margin of Error; Female: - 25 to 34 years:,Estimate; Female: - 25 to 34 years: - With health insurance coverage,Margin of Error; Female: - 25 to 34 years: - With health insurance coverage,Estimate; Female: - 25 to 34 years: - No health insurance coverage,Margin of Error; Female: - 25 to 34 years: - No health insurance coverage,Estimate; Female: - 35 to 44 years:,Margin of Error; Female: - 35 to 44 years:,Estimate; Female: - 35 to 44 years: - With health insurance coverage,Margin of Error; Female: - 35 to 44 years: - With health insurance coverage,Estimate; Female: - 35 to 44 years: - No health insurance coverage,Margin of Error; Female: - 35 to 44 years: - No health insurance coverage,Estimate; Female: - 45 to 54 years:,Margin of Error; Female: - 45 to 54 years:,Estimate; Female: - 45 to 54 years: - With health insurance coverage,Margin of Error; Female: - 45 to 54 years: - With health insurance coverage,Estimate; Female: - 45 to 54 years: - No health insurance coverage,Margin of Error; Female: - 45 to 54 years: - No health insurance coverage,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - With health insurance coverage,Margin of Error; Female: - 55 to 64 years: - With health insurance coverage,Estimate; Female: - 55 to 64 years: - No health insurance coverage,Margin of Error; Female: - 55 to 64 years: - No health insurance coverage,Estimate; Female: - 65 to 74 years:,Margin of Error; Female: - 65 to 74 years:,Estimate; Female: - 65 to 74 years: - With health insurance coverage,Margin of Error; Female: - 65 to 74 years: - With health insurance coverage,Estimate; Female: - 65 to 74 years: - No health insurance coverage,Margin of Error; Female: - 65 to 74 years: - No health insurance coverage,Estimate; Female: - 75 years and over:,Margin of Error; Female: - 75 years and over:,Estimate; Female: - 75 years and over: - With health insurance coverage,Margin of Error; Female: - 75 years and over: - With health insurance coverage,Estimate; Female: - 75 years and over: - No health insurance coverage,Margin of Error; Female: - 75 years and over: - No health insurance coverage
5001300US0101,0101,"Congressional District 1 (113th Congress), Alabama",678614,4262,324985,3335,25759,1519,24415,1606,1344,679,58310,1915,54340,2173,3970,1296,29459,1589,20296,1923,9163,1564,38750,1521,24264,2017,14486,2027,39622,1497,28969,1929,10653,1954,45253,1530,36256,1845,8997,1377,42125,794,37140,1143,4985,977,28168,754,28055,730,113,141,17539,614,17539,614,0,184,353629,2398,26075,1742,24955,1914,1120,603,54205,1549,50054,1942,4151,1201,32573,1125,23870,1619,8703,1528,42841,1729,30275,2137,12566,2078,43798,1397,35238,1550,8560,1360,50218,1321,40097,2058,10121,1563,46735,652,39742,1296,6993,1163,32712,583,32635,589,77,123,24472,652,24472,652,0,184
5001300US0102,0102,"Congressional District 2 (113th Congress), Alabama",662806,7170,314311,4184,27620,1585,26544,1628,1076,480,55057,1836,52837,1983,2220,903,30574,1809,22581,1650,7993,1489,39035,1993,26641,2006,12394,1667,38856,1974,30374,1739,8482,1449,42044,1473,33906,1332,8138,1086,39225,1181,35967,1305,3258,608,26092,780,26063,788,29,47,15808,666,15808,666,0,184,348495,4840,25705,1593,25196,1513,509,422,53467,1988,51147,1820,2320,867,30019,1716,22591,1880,7428,1146,48388,1891,35070,1949,13318,1660,43127,1667,32842,1707,10285,1446,47513,1284,41016,1606,6497,1038,43561,1071,39189,1285,4372,804,31473,926,31309,942,164,172,25242,777,25242,777,0,184
5001300US0103,0103,"Congressional District 3 (113th Congress), Alabama",683233,4754,330211,3731,27149,1936,26785,1862,364,303,54806,1945,53398,2031,1408,528,40927,2200,31118,2391,9809,1783,38382,1993,25643,2228,12739,2039,42278,2013,33364,2071,8914,1712,44009,1185,36366,1489,7643,1123,42115,1026,37550,1376,4565,995,26108,789,26072,788,36,69,14437,896,14407,902,30,50,353022,3389,24539,1641,24364,1642,175,156,51755,1746,50660,1800,1095,471,40740,1678,34804,2019,5936,1215,44787,1545,33499,2079,11288,1672,45110,1466,37725,1954,7385,1257,47039,1002,40679,1326,6360,1114,45311,1052,39815,1487,5496,1355,30397,843,30370,849,27,50,23344,776,23344,776,0,184
5001300US0104,0104,"Congressional District 4 (113th Congress), Alabama",674585,3824,327931,2822,25339,1846,23890,1922,1449,716,55433,2373,53773,2446,1660,675,31831,1751,23876,1990,7955,1360,36839,1979,24759,1763,12080,1820,41984,1165,30907,1804,11077,1561,46326,1506,37387,1730,8939,1657,43225,972,39472,1386,3753,856,29903,776,29824,745,79,135,17051,620,17051,620,0,184,346654,2839,24007,1784,22365,1752,1642,857,53941,1779,51368,2064,2573,1122,28681,1206,21379,1692,7302,1368,39596,1493,28192,1450,11404,1450,44443,1293,34511,1848,9932,1693,47597,1305,40477,1625,7120,993,46467,980,41250,1250,5217,830,34750,968,34743,969,7,12,27172,912,26820,974,352,373
5001300US0105,0105,"Congressional District 5 (113th Congress), Alabama",686796,1992,334123,2176,25761,1460,24583,1540,1178,631,56075,1442,54142,1450,1933,779,32059,840,24771,1675,7288,1550,42102,1479,30456,2021,11646,1916,42058,1866,31904,2187,10154,1550,51603,1000,41886,1666,9717,1540,41910,836,37511,994,4399,844,26761,604,26469,657,292,238,15794,497,15794,497,0,184,352673,1514,24015,1213,23736,1242,279,283,54174,1161,52659,1287,1515,643,32353,699,25555,1057,6798,1149,43804,1091,32136,1614,11668,1593,45498,1208,36118,1630,9380,1339,53266,1125,45779,1463,7487,1352,45726,930,39535,1353,6191,1143,30564,828,30564,828,0,184,23273,570,23187,588,86,147
5001300US0106,0106,"Congressional District 6 (113th Congress), Alabama",681053,7855,329344,5231,26400,1679,25903,1717,497,381,55899,2138,53747,2097,2152,957,26751,1817,22206,1780,4545,1028,44884,2247,34568,2234,10316,2074,46411,1569,37966,1654,8445,1632,47054,1829,42789,1812,4265,1266,41877,1578,39148,1681,2729,895,24370,983,24194,965,176,177,15698,765,15642,758,56,94,351709,4240,26667,2308,25839,2318,828,476,55388,2283,53292,2416,2096,752,26981,1633,22278,1739,4703,1085,45772,2072,37920,2502,7852,1681,48927,1679,40423,1899,8504,1513,50078,1680,44876,1857,5202,1031,44869,1659,40871,1675,3998,953,29009,1128,28885,1101,124,149,24018,965,24018,965,0,184
5001300US0107,0107,"Congressional District 7 (113th Congress), Alabama",674611,9919,314825,6055,28413,2136,27600,2105,813,468,51685,2434,48427,2553,3258,1176,46283,2422,32573,2530,13710,1812,37409,2429,24038,2233,13371,1952,36591,2109,24606,1994,11985,1541,41032,1961,33101,2154,7931,1388,38306,1620,33866,1664,4440,961,21427,1267,21277,1257,150,148,13679,975,13679,975,0,184,359786,5453,27385,2032,26546,2091,839,567,47971,2484,44825,2628,3146,1075,48442,2226,37844,2581,10598,1710,47859,2368,35757,2766,12102,1779,41937,2198,32156,2190,9781,1762,47317,2021,39084,1837,8233,1259,46773,1727,41426,1816,5347,919,27324,1304,27324,1304,0,184,24778,1132,24778,1132,0,184
5001300US0200,0200,"Congressional District (at Large) (113th Congress), Alaska",708946,1546,362461,2242,32771,1446,28913,1517,3858,847,63992,1428,53854,2338,10138,1957,38386,1810,25137,1943,13249,1646,49743,1776,31248,2324,18495,2069,46027,1579,33119,1688,12908,1629,53186,1195,39355,1629,13831,1586,48753,666,40761,1272,7992,1133,20319,611,20097,639,222,133,9284,529,9279,529,5,10,346485,1896,31743,1161,28082,1388,3661,724,58566,1434,50266,1781,8300,1636,34088,1055,26291,1242,7797,845,52103,1492,37795,1979,14308,1690,45301,1467,35065,1911,10236,1307,49291,1446,37794,1599,11497,1557,44068,806,35563,1570,8505,1321,19776,749,19490,797,286,233,11549,812,11549,812,0,143
5001300US0401,0401,"Congressional District 1 (113th Congress), Arizona",706631,8906,351997,5606,32087,1811,27139,1806,4948,1171,60287,2627,50634,2895,9653,1524,40733,2365,29231,2390,11502,1636,41606,2327,25967,1978,15639,2203,42497,2582,31315,2190,11182,1587,43447,2389,34198,2553,9249,1350,42502,1788,35457,1817,7045,1190,31307,1656,30508,1869,799,549,17531,1352,17459,1366,72,79,354634,5738,30063,2312,26051,2291,4012,1025,58403,2643,48540,2764,9863,1794,38011,1548,27786,1868,10225,1622,41673,2566,31277,2343,10396,1810,38136,1880,31157,1824,6979,1144,47051,2144,37595,1858,9456,1315,47320,2098,39523,2060,7797,1056,32305,1803,31681,1859,624,296,21672,1693,21569,1688,103,92
